,Brand,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo - Brazzaville,Congo - Kinshasa,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar (Burma),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkmenistan,Turks & Caicos Islands,Tuvalu,Türkiye,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands,2023 Brand Value in $,Products,Description,Website
10,COLE HAAN,0,0,0,0,0,0,0,0,0,0,77,0,3,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,88,2,29,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,18,1,0,0,4,0,0,0,0,28,0,0,0,0,0,0,25,40,0,0,3,2,0,0,5,0,7,0,0,4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,32,0,0,4,31,0,0,0,0,53,0,1,0,0,0,0,28,0,0,0,0,21,0,0,0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,5,62,0,0,0,0,6,7,0,0,0,0,0,0,$975M,"['Womenswear', 'Menswear', 'Eyewear', 'Footwear', 'Bags', 'Accessories']","Cole Haan is an American brand of men's and women's footwear and accessories that serves markets worldwide. The company was founded in Chicago, Illinois in 1928. Cole Haan currently has its headquarters in both New York City and Greenland, New Hampshire, United States.

Wholesale
+1 800-201-8001
E: customerservice@colehaan.com

Photo credit: cole haan",https://www.colehaan.com
11,JIMMY CHOO,0,0,17,0,0,0,0,0,0,5,77,0,75,29,0,0,0,0,0,0,34,0,0,0,0,0,46,0,0,10,0,0,0,67,0,0,0,0,43,0,0,0,0,0,27,0,0,0,5,0,0,0,0,0,48,0,0,0,27,0,31,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,40,0,0,0,0,0,35,25,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,51,41,0,23,3,0,0,63,0,27,39,100,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,28,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,24,0,0,0,0,0,43,0,49,0,0,13,0,0,0,0,0,24,0,18,0,0,0,0,0,7,11,0,48,29,0,0,52,13,0,0,0,0,16,0,68,0,0,40,0,55,0,0,0,32,0,10,0,26,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,11,0,0,7,0,0,0,0,0,26,0,0,0,7,0,0,0,21,58,96,50,0,0,0,0,0,11,0,0,0,0,0,0,$943M,"['Womenswear', 'Menswear', 'Footwear', 'Eyewear', 'Bags', 'Accessories']","Jimmy Choo is a leading global luxury brand with an empowered sense of glamour and a playfully daring spirit. The brand traces its roots to a bespoke shoemaker named Jimmy Choo, based in the East End of London in the early 1990s, who catered to the global jet set, including Princess Diana. The Jimmy Choo company was founded in 1996, with Mr Choo’s niece, Sandra Choi, who had been heading up design in the East End atelier, coming on board as Creative Director, a position she holds to this day. Mr Choo departed the company in 2001.

The sexy cut, fashionable design, and exceptional Italian craftsmanship struck a chord with a sophisticated clientele, and the first collection enjoyed immediate success. With a goal of creating a global luxury business, Jimmy Choo attracted outside investment and the company embarked on a significant expansion across product categories, channels and geographies.

A pioneer in the art of celebrity dressing, Jimmy Choo was among the first to bring shoes and handbags to Hollywood where the red carpet proved to be the ideal runway for the brand. Today, Jimmy Choo can be seen on style icons from celebrities to royalty, musicians to heads of state.

The brand’s reputation as a celebrity favourite helped to fuel its rapid expansion. Its iconography was further defined by the bold and dramatic advertising portraying glamorous but strong women in towering heels and luxurious handbags, captured by some of the most acclaimed fashion photographers in the world.

Retail development has been integral to the company’s strategy. The first Jimmy Choo store was opened in 1996 on Motcomb Street in London, complementing a distribution in some of the most prestigious multi-brand stores in the world. Two years later, the company expanded to the US, opening two stores in New York City and Beverly Hills. International expansion continued with Jimmy Choo securing locations in the premiere luxury shopping destinations of the world’s most prestigious cities including Sloane Street and Bond Street in London, Avenue Montaigne in Paris, Via Condotti in Rome, Madison Avenue in New York, Rodeo Drive in Beverly Hills, and Ginza in Tokyo.

Jimmy Choo encompasses a complete luxury accessories brand. Women’s shoes remain the core of the product offer, alongside handbags, small leather goods, scarves, sunglasses, eyewear, belts, fragrance and men’s shoes. Creative Director Sandra Choi has been with the brand since its inception in 1996 with a vision to create one of the world’s most treasured luxury brands. Jimmy Choo has a global store network encompassing more than 200 stores and is present in the most prestigious department and specialty stores worldwide. Jimmy Choo is part of the Capri Holdings Limited global fashion luxury group publicly listed on the New York Stock Exchange under the ticker CPRI.

Wholesale
P: 0080049294929
E: customerservices@jimmychoo.com

Photo credit: Jimmy Choo",http://www.jimmychoo.com
12,VALENTINO,0,56,5,0,0,0,0,0,0,27,0,0,16,25,0,0,0,0,0,0,21,0,0,0,0,10,32,0,0,7,0,0,0,17,0,0,0,0,12,0,0,0,0,0,25,0,0,0,13,0,0,0,0,13,37,0,0,0,18,0,44,0,0,17,7,5,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,19,20,0,0,19,0,0,0,0,10,0,0,0,0,0,0,0,10,20,0,2,5,1,0,14,0,8,100,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,32,0,0,0,0,7,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,0,0,0,0,0,22,0,10,0,0,4,0,0,0,0,0,41,0,3,0,0,34,0,0,11,7,0,15,14,27,0,36,2,0,0,0,0,5,0,25,0,0,14,0,21,21,0,0,7,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,49,26,0,0,5,0,0,3,0,0,0,0,0,16,0,0,0,8,0,0,0,4,22,21,17,29,0,0,0,8,5,0,0,0,0,0,0,$869M,"['Womenswear', 'Menswear', 'Bags', 'Footwear', 'Accessoires']","The Maison Valentino was founded in 1960 by Valentino Garavani and Giancarlo Giammetti. Valentino is a protagonist of international fashion, and from 2008 until 2016, has gone through an impactful creative evolution.

The Maison Valentino plays a major role in the luxury division through tradition and innovation, a necessary combination for a creative industry that generates the sense of beauty. Valentino’s fashion is displayed through the Haute Couture and Prêt-à-Porter lines for women and for men and through the Valentino Garavani accessories lines that include shoes, bags, small leather goods, eyewear, scarves, ties and fragrances. An aesthetic universe, present in over 100 countries through 175 Valentino directly-operated boutiques and over 1500 points of sale.

7th July 2016: Valentino nominates Pierpaolo Piccioli sole Creative Director of the Maison.

An aesthetic, contemporary vision and the excellence in the execution, are the guidelines of the industrial process and of the artisanal and handmade workmanship that are entirely produced in the historic Atelier of Piazza Mignanelli in Rome, where the specialized ‘Bottega Couture’ couture school, has recently opened.

Wholesale
E:

Photo credit: Valentino",http://www.valentino.com
13,CHOW TAI FOOK,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,$4.8B,,"The Chow Tai Fook is a market leader in the Chinese and Hong Kong jewelry industry. The company is founded in 1929 as an affiliate of Chow Tai Fook Enterprises Ltd., a property development company. The Jeweler is best know for its iconic brand Chow Tai Fook, which mainly known for wedding and engagement rings. Other iconic products of the company are diamond rings, diamond necklaces and golden New Year's items. CTF also has a label that sells watches, CTF Watch. The label does not have its own line of watches, but brings luxury brands, such as Roles, Cartier and Hublot to the Asian market.The company sells its own jewelry label online and in over 2,200 stores throughout China, Hong Kong, Singapore, Malaysia, South Korea and the United States.",http://www.chowtaifook.com
14,SWAROVSKI,0,0,0,0,0,0,0,0,0,8,0,0,41,100,0,0,0,0,0,0,34,0,0,0,0,0,26,0,0,10,0,0,0,25,0,0,0,0,29,0,0,0,0,0,22,0,0,0,5,0,0,0,0,0,28,0,0,46,32,0,11,0,0,0,6,3,0,0,0,0,0,0,0,0,0,11,32,0,0,0,0,0,0,38,0,0,63,0,0,0,0,12,0,0,0,0,0,0,0,17,36,0,6,3,0,0,28,0,10,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,24,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,7,0,0,0,0,0,31,0,24,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,6,5,0,14,43,0,0,53,3,0,0,0,0,7,0,23,0,0,40,0,28,34,0,0,13,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,12,53,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,29,0,0,0,4,36,34,14,0,0,0,0,0,11,0,0,0,0,0,0,$4.8B,,"Masters of Light Since 1895

Swarovski creates beautiful products of impeccable quality and craftsmanship that bring joy and celebrate individuality.
Founded in 1895 in Austria, the company designs, manufactures, and sells the world's finest crystals, Swarovski Created Diamonds and zirconia, jewelry, and accessories, as well as home décor and crystals for Automotive. Swarovski Crystal Business is represented in over 140 countries worldwide with 2,300 Swarovski boutiques complemented by selected multibrand partners and employs 16,600 people. Together with its sister companies Swarovski Optik (optical devices) and Tyrolit (abrasives), Swarovski Crystal Business forms the Swarovski Group.",https://www.swarovski.com
15,MICHAEL KORS,0,0,0,0,0,0,0,0,0,3,0,0,20,42,73,0,0,0,0,0,33,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,66,0,0,0,0,0,38,0,0,0,11,0,0,0,0,0,27,0,0,0,32,0,21,0,0,17,11,6,0,0,0,0,0,0,0,0,0,15,28,0,0,0,0,0,0,34,0,0,74,0,0,0,0,18,0,0,0,0,0,0,0,12,100,0,13,8,2,0,43,0,12,51,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,20,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,25,0,0,0,0,0,45,0,15,0,0,0,0,0,0,0,0,20,0,11,0,0,42,0,0,16,23,0,38,53,0,0,71,8,0,0,0,0,8,0,21,0,0,21,0,37,0,0,0,42,0,6,0,42,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,8,0,0,6,0,0,0,0,0,35,0,0,0,15,0,0,0,14,41,36,47,0,0,0,0,0,10,0,0,0,0,0,0,$4.2B,"['Womenswear', 'Menswear', 'Footwear', 'Bags', 'Eyewear', 'Jewelry', 'Accessories']","Michael Kors is a world-renowned, award-winning designer of luxury accessories and ready-to-wear. His namesake company, established in 1981, currently produces a range of products under his signature Michael Kors Collection, MICHAEL Michael Kors and Michael Kors Mens labels. These products include accessories, footwear, watches, jewelry, women’s and men’s ready-to-wear, wearable technology, eyewear and a full line of fragrance products. Michael Kors stores are operated, either directly or through licensing partners, in some of the most prestigious cities in the world, including New York, Beverly Hills, Chicago, London, Milan, Paris, Munich, Istanbul, Dubai, Seoul, Tokyo, Hong Kong, Shanghai and Rio de Janeiro. The company prides itself on hiring and retaining diverse talent and providing an inclusive work environment for all, while celebrating global events and cultures that reflect the diversity, experiences and perspectives of people around the world.

Behind this burgeoning empire stands a singular designer with an innate sense of glamour and an unfailing eye for timeless chic. Michael Kors has won numerous accolades within the fashion industry, been honored for his philanthropy, and earned the respect and affection of millions. Wholly dedicated to a vision of style that is as sophisticated as it is indulgent, as iconic as it is modern, he has created an enduring luxury lifestyle empire with a global reach.

Wholesale
E: inquiries@michaelkors.com

Photo credit: Michael Kors",http://www.michaelkors.com
16,SKECHERS,0,0,10,0,0,0,0,0,0,3,0,0,36,22,0,0,0,0,0,0,25,0,0,0,0,0,30,0,0,5,0,0,0,13,0,0,0,0,27,0,0,0,0,0,100,39,0,0,25,0,0,0,0,23,46,0,0,0,17,0,50,0,0,0,12,6,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0,0,0,23,0,0,26,0,0,0,0,24,0,0,0,0,0,0,0,19,59,0,15,11,1,0,39,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,7,0,0,0,0,0,46,0,39,0,0,0,0,0,0,0,0,18,0,17,0,0,0,0,0,27,9,0,14,33,0,0,39,2,0,0,0,0,9,0,44,0,0,34,0,21,30,0,0,6,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,66,0,0,0,8,27,45,26,0,0,0,0,7,5,0,0,0,0,0,0,$4.1B,"['Womenswear', 'Menswear', 'Footwear', 'Kidswear']","From our first logger boot to our latest comfort fit offering, the Skechers collection has grown from one style to more than 3,000 for every age and activity. For more information on how you can become a retailer of SKECHERS Footwear, please contact our wholesale customer service team at: +1-800-243-0443.

Photo credit: SKECHERS Footwear",https://www.skechers.com
17,MONCLER,0,77,0,0,0,0,0,0,0,4,0,0,13,53,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,23,0,0,0,0,0,4,28,0,0,2,0,0,0,0,0,33,0,0,0,21,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45,0,0,0,0,0,25,45,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0,0,1,0,0,37,0,7,78,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0,62,0,9,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,4,2,0,25,15,0,0,46,8,0,0,0,0,0,0,23,0,0,18,0,24,28,0,0,4,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,100,58,0,0,22,0,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,8,12,61,17,0,0,0,0,0,3,0,0,0,0,0,0,$5B,"['Womenswear', 'Menswear', 'Footwear', 'Bags', 'Accessories', 'Sportswear']","Founded in Monestier de Clermont, Grenoble, France, in 1952, Moncler is now based in Italy. Over the course of the years the brand has teamed style with ongoing technological research which harnesses the knowledge of mountaineering experts. Moncler collections combine extreme needs with day-to-day city life. In 2003 Remo Ruffini took over the company of which he is now Chairman and CEO. Moncler directly produces and distributes it's own clothing and accessories collections, through its direct boutiques and the world’s most exclusive department and multibrand stores. Photo credit: Moncler",http://www.moncler.com
18,PUMA,0,0,13,0,0,0,0,0,0,81,0,0,20,22,0,0,0,0,0,0,19,0,0,0,0,23,0,0,0,35,0,0,0,21,0,0,0,0,16,0,0,0,0,0,100,0,0,0,27,0,0,0,0,28,19,0,0,0,28,0,21,0,0,0,26,4,55,0,0,0,0,0,0,0,0,13,28,0,0,0,0,0,0,30,0,0,30,0,0,0,0,38,0,0,0,0,0,0,0,15,33,0,25,9,1,0,21,0,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,51,0,45,0,0,0,0,15,0,0,0,0,0,29,0,24,0,0,4,0,0,0,0,0,18,0,4,0,0,30,0,43,59,15,0,35,35,0,0,46,6,0,0,0,0,5,0,32,0,0,20,0,29,0,0,0,57,0,7,0,31,0,0,0,0,0,0,0,0,0,0,0,19,21,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,39,0,0,0,24,17,25,11,52,0,0,0,11,8,0,0,0,0,0,0,$2.4B,"['Menswear', 'Womenswear', 'Footwear', 'Sportswear', 'Bodywear']","Sport has the power to transform and empower us. As one of the world’s leading sports brands, it’s only natural that we want to stand on the same playing field as the fastest athletes on the planet. To achieve that, the PUMA brand is based on the very values that make an excellent athlete. Photo credit: Puma",https://www.puma.com
19,BRUNELLO CUCINELLI,0,0,0,0,0,0,0,0,0,1,32,0,9,16,18,0,0,0,0,8,14,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,15,0,0,0,0,0,1,24,0,0,2,0,0,0,0,0,11,0,0,0,6,0,10,0,0,0,0,1,0,0,0,21,0,0,0,0,0,5,8,0,0,0,0,0,17,13,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,1,2,0,0,7,0,7,100,0,1,0,0,16,0,0,0,60,0,0,20,0,0,0,0,0,18,41,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,1,3,0,6,9,0,30,14,12,0,0,0,0,8,0,39,0,0,24,0,0,0,0,0,4,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,13,38,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,13,35,13,13,0,22,0,0,0,2,0,0,0,0,0,0,$2.2B,,"Brunello Cucinelli is an Italian fashion brand which sells menswear, women's wear and accessories in several countries.",http://investor.brunellocucinelli.com/eng/
20,AMERICAN EAGLE OUTFITTERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,$2.1B,,"American Eagle Outfitters is an American clothing and accessories retailer, headquartered in Pittsburgh, Pennsylvania. It was founded in 1977 by brothers Jerry and Mark Silverman as a subsidiary of Retail Ventures, Inc., a company which also owned and operated Silverman's Menswear. American Eagle Outfitters is the parent company of Aerie and formerly of 77 kids.",https://www.ae.com/
21,NINE WEST,0,0,0,0,0,0,0,0,0,0,0,0,27,0,8,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,26,0,0,13,0,0,0,0,0,6,6,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,63,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,59,0,0,0,2,0,0,14,0,7,2,6,0,4,0,0,10,5,0,0,0,0,0,2,0,100,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,24,0,0,0,0,40,0,0,0,0,14,3,12,0,0,0,0,1,1,0,0,0,0,0,0,$2.1B,,"Nine West (also 9 West) is a fashion wholesale and retail company best known for quickly translating runway trends into styles attainable by mass consumers. Founded by Jerome Fisher and Vince Camuto. Initially founded as a fashion footwear brand, Nine West has since expanded into handbags, sunglasses, legwear, outerwear, jewelry, belts, watches, cold weather accessories, hats, scarves and wraps, and eyewear. Fred Allard has served as Creative Director since 2006. Named for its founding location at 9 West 57th St in New York City, Nine West opened its first specialty retail store in 1983 in Stamford, Connecticut. Nine West has since become an internationally-recognized brand located in over 800 global locations in 57 countries.",http://www.ninewest.com
22,AUDEMARS PIGUET,0,44,5,0,0,0,0,0,0,1,0,0,9,17,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,10,0,0,0,0,0,3,13,0,0,4,0,0,0,0,0,14,0,0,0,11,21,14,0,0,7,0,6,0,0,0,0,0,0,0,0,0,9,31,0,0,0,0,0,12,16,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,8,4,1,0,7,0,8,29,0,1,0,9,5,6,0,0,29,0,0,0,32,0,0,0,0,0,44,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,0,15,0,5,0,0,8,0,0,0,0,0,14,0,8,0,0,0,0,0,2,10,0,5,12,15,39,18,5,0,0,0,0,7,0,14,0,0,47,0,8,0,0,0,10,0,7,0,11,6,0,0,0,0,0,0,0,0,0,0,12,100,0,0,4,0,0,6,0,0,0,0,0,9,0,0,0,7,0,0,0,5,41,13,10,0,0,0,0,0,6,0,0,0,0,0,0,$1.6B,,"Audemars Piguet is a swiss manufacturer of haute horlogie. The company was founded in 1875 in vallée de Joux, Switzerland and still remains to be controlled by its founding families. Audemars Piguet is now available across the globe.",https://www.audemarspiguet.com/
23,TISSOT,0,0,6,0,0,0,0,0,0,4,0,0,27,25,20,0,0,7,0,20,29,0,0,0,0,0,29,0,0,6,0,0,0,26,0,0,0,0,21,0,0,0,0,0,10,0,0,0,17,0,0,0,0,0,30,0,0,0,22,0,19,0,0,0,7,7,0,0,0,0,0,0,0,0,0,23,37,0,0,0,0,0,19,22,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,19,35,0,15,4,2,0,23,0,13,25,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,12,21,0,17,0,0,4,0,0,0,0,0,28,0,14,0,0,0,0,0,7,15,0,20,31,0,43,36,11,0,0,0,0,8,0,34,0,0,44,0,26,25,0,0,7,0,5,0,20,18,0,0,0,0,0,0,0,0,0,0,31,100,0,0,8,0,0,6,0,0,0,0,0,22,0,0,0,26,0,0,0,11,54,24,10,0,13,0,0,0,21,0,0,0,0,0,0,$1B,,"Tissot is a Swiss manufacturer and designer of luxury watches. The companyw as founded in 1853. 
As of today, Tissot ships its products across the globe",http://www.tissot.ch
24,VACHERON CONSTANTIN,0,45,5,0,0,0,0,0,0,2,44,0,19,21,18,0,0,4,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,18,0,0,0,0,0,5,29,0,0,5,0,0,0,0,0,22,0,0,36,12,0,21,0,0,10,0,4,0,0,0,0,0,0,0,0,0,11,29,0,0,0,0,0,29,16,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,65,17,0,4,4,2,0,15,0,12,36,0,2,0,0,6,0,0,0,48,0,0,0,25,0,0,0,0,0,63,0,0,0,17,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,17,0,8,0,0,6,0,0,0,0,0,23,0,7,0,0,0,0,0,3,13,0,8,19,0,53,30,7,0,0,0,0,12,0,28,0,0,92,0,11,0,0,0,8,0,12,0,14,8,0,0,0,0,0,0,0,0,0,0,19,100,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,8,55,22,14,0,10,0,0,0,15,0,0,0,0,0,0,$816M,['Jewelry'],The world's oldest watch manufacturer in continuous operation since 1755 and founder of the spirit of technical and precious Haute Horlogerie Photo credit: Vacheron Constantin,https://www.vacheron-constantin.com
