Brand Name,Products,Description,Website,Sentiment_Scores,Compound,Sentiment,Language
24colours,"['Womenswear', 'Bodywear', 'Footwear', 'Eyewear', 'Accessories', 'Bags']","BRAND: 24colours DESCRIPTION: 24colours is a young fashion label that was founded in Berlin in September 2009. In addition to clothing, our range of accessories is constantly being expanded and is based on the latest trends. Due to the inspiration of Berlin street style , individuality in our looks is particularly important to us . This is also reflected in the strict limitation of our goods. In addition to this online shop, there are already forty stores across Germany.
One of the most important basic ideas at 24colours is that we want to make our unique collections accessible to every customer. Fashion should be independent of income or social status. However, individuality and exclusivity are just as important to us as fairness and social responsibility. So we not only make sure that you can afford our clothes, but also that producers and suppliers are transparent .


Wholesale
P: 0800/242656877
E: sales@24colours.de

Photo credit: 24colours",https://www.24colours.de,"{'neg': 0.02, 'neu': 0.908, 'pos': 0.073, 'compound': 0.7437}",0.7437,Positive,en
2nd Day,['Womenswear'],"BRAND: 2nd Day DESCRIPTION: 2NDDAY is a contemporary fashion brand with a focus on free-spirited, urban design and an effortlessly feminine personality. Through the collections of outerwear, leather, denims and seasonal trend pieces, 2NDDAY powers your ambitions and confidence. Wholesale
E: mille.bangert@day.dk 

Photo credit: Courtesy of 2nd Day",https://2ndday.com,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.8126}",0.8126,Positive,en
2XU,"['Sportswear', 'Swimwear']","BRAND: 2XU DESCRIPTION: 2XU (pronounced ""Two Times You"") was born from an obsession with performance fabrics. From the get-go, 2XU has been creating specialist run and triathlon gear. Now, 2XU has found the perfect marriage of technology and performance, designing everything to help improve preparation, performance and recovery. But their mission doesn’t stop there. 2XU are helping people reset their goals, refocus and make a change themselves. They are showing everyone that change is possible and that a fitter, healthier life is doable. The rebels, the slow-coaches, the joggers, the paddlers, the spinners – anyone who has ever thought ‘I can’t do that’ – we are showing them they can.

Wholesale
E: wholesale.aus@2xu.com

Photo credit: 2XU",https://www.2xu.com,"{'neg': 0.054, 'neu': 0.833, 'pos': 0.113, 'compound': 0.7391}",0.7391,Positive,en
3.1 Phillip Lim,"['Womenswear', 'Footwear', 'Accessories', 'Bags']","BRAND: 3.1 Phillip Lim DESCRIPTION: Debuted at New York Fashion Week in 2005, 3.1 Phillip Lim was born from a friendship between founders, Phillip Lim and Wen Zhou. Both 31 years of age at its inception, the designer and entrepreneur were pioneers in the accessible luxury space, with the goal of bringing a ‘cool, easy, chic’ wardrobe to the modern global citizen. The brand has since expanded to include womenswear, menswear, accessories and footwear, and currently has 14 stand-alone retail stores worldwide with locations in the U.S., London and across Asia. 3.1 Phillip Lim’s contribution to the industry has received global recognition, including 3 CFDA Awards for Womenswear (2007), Menswear (2012), and Accessories (2013). Throughout its 14-year history, the brand has continued to evolve its positioning in the ever-changing fashion landscape to continue as a leader in American fashion.",https://www.31philliplim.com,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.062, 'compound': 0.8316}",0.8316,Positive,en
337 Brand,"['Womenswear', 'Sustainable']","BRAND: 337 Brand DESCRIPTION: 337 BRAND is a sustainable leisurewear line designed to influence a positive movement and look damn good while doing it. Inspired by nature, comfort and kindness, the brand introduces effortless-style clothing made from earth-friendly materials. Produced ethically and locally in New York City, we believe in giving back with every purchase. In addition, 337 BRAND constantly strives toward circularity where the products are made in a closed-loop system with bare minimum to zero waste. Our mantra is simple, Kindness is Sexy™.
Join us in our green movement towards better living.
#JoinGreenMoves Wholesale
E: Sales@337brand.com  

Photo credit: 337 Brand",https://www.337brand.com,"{'neg': 0.046, 'neu': 0.72, 'pos': 0.234, 'compound': 0.9674}",0.9674,Positive,en
360 Cashmere,"['Accessories', 'Womenswear']","BRAND: 360 Cashmere DESCRIPTION: 360Cashmere is the story of Leslie and Bruce Gifford, and their two children, Andrew and Alex. All were born into fashion and share a passion for the industry that surrounds it. The family launched the contemporary knitwear brand in 2009 after selling their successful SWEATER.COM business in 2006. Their New York upbringing and West Coast lifestyle inspires their love and passion for creating casual yet dramatic luxury knitwear. They bring four generations of knowledge about global sourcing and fashion marketing to create an exciting brand that is unique in the marketplace. In a short time, the bi-costal family has built the hottest international brand in women's better contemporary knitwear by blending effortless beach chic with sexy sophistication. 

360Cashmere is offered only at the finest retailers and major department stores in the United States, Europe and Canada. In addition to 360Cashmere, July 2013 saw the launch of their latest, edgier collection, Skull Cashmere, driven by the creative vision of their New York based son, Andrew. Like the circle made up of 360 degrees, everything comes back around to family and the creative energy that binds them together.

Wholesale
E: sales@360sweater.com

Photo credit: Courtesy of 360 Cashmere",https://www.360cashmere.com,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.9944}",0.9944,Positive,en
361° Europe,['Sportswear'],"BRAND: 361° Europe DESCRIPTION: We formed our company in 2016 with the initial goal of creating an entry into the world of running shoes. Even though the world doesn’t need another running shoe brand, we felt we could build ourselves a niche with an honest story and a great product. And we believe the right place to get a great pair of running shoes is your local specialist running store. That’s where you can find our products. We are a team of industry experts and we’ve built 361° as a brand and company that is close to the running community. We serve runners with specific running experiences – our shoes. Our European headquarters are located in the Amsterdam area and we are a diverse team of people. With various cultural backgrounds nationalities, we are all experts in our fields. Carol Kang is our finance expert from Taipei,Maren Beckmann runs operations with German precision. Ebony Nieuwenhuijse, who is Dutch, and Anna Taborda from Brazil bring brand and marketing to life. Ron van der Linde built the foundation for our sales and distribution strategy, which has allowed us to quickly get our products sold in more than 500 stores across the region and beyond. Last but not least, the company is managed by Jurian Elstgeest, a veteran in the sporting goods industry. He brings with him 20 years of retail and buying experience and has worked with brands Nike, and ASICS in senior management roles. But above all he is a runner, a triathlete, an endurance sport junkie for life. He runs in his own running shoes from prototype to final product. His vision is that every shoe that 361° builds must deliver a specific running experience.

Like us, our ambassadors are also a diverse group of people who inspire, each in their own sphere and performance level, with a common goal to inspire you to do more than you think you can. They are real people, living real lives. They aren’t judged by the number of likes or followers. We recruit them based on how much they fit our goal to go #BEYONDEXPECTATIONS, from Olympic athletes to people who are turning around unhealthy lifestyles to become multisport athletes and streak runners who bring awareness of mental illness and open up conversations about it. We don’t ask them to always post the pretty pictures. We ask them to inspire and motivate others to do more than they think they can. We support local retailers building business and running communities and local events bringing people together. We are also an official partner of Hamburg Marathon.

Wholesale
E: info@361europe.com

Photo credit: Courtesy of 361° Europe",https://361europe.com,"{'neg': 0.017, 'neu': 0.864, 'pos': 0.118, 'compound': 0.9931}",0.9931,Positive,en
3JUIN,['Footwear'],"BRAND: 3JUIN DESCRIPTION: his is the 3JUIN woman. Three in one. With many subtleties. Like her shoes: sensual and cool, yet dynamic and assertive, contemporary and romantic. We are three women. Three sisters. Three personalities forming a whole greater than the sum of its parts. Like all women. A new, young and modern company with a  osmopolitan flair, rooted in the style,quality and values of Made in Italy. A story of continuous innovation. Wholesale
E: info@3juin.com

Photo credit: 3JUIN",https://3juin.com,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.9638}",0.9638,Positive,en
3pommes,['Kidswear'],"BRAND: 3pommes DESCRIPTION: An essential brand in the children's market
Since 1973, 3pommes has been dressing girls and boys from 0 to 14 years old.

The 3pommes baby, layette and kid lines are inspired by major trends in children's fashion.

The Beckaro line offers a cloakroom for teens aged 8 to 18 inspired by City trends like teens who are still looking between childhood and adulthood. With more than 900 retailers around the world made up mainly of multi-brand boutiques and department stores, 3 Pommes is the go-to brand for dressing children with style and comfort.

Wholesale 
E: 

Photo credit: TROIS POMMES",https://www.3pommes.com,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.9186}",0.9186,Positive,en
3QUARTERS,"['Bags', 'Accessories']","BRAND: 3QUARTERS DESCRIPTION: 3QUARTERS is an innovative sustainable fashion brand founded in 2015 in Athens, Greece. Focusing on upcycled fashion accessories and committed to the principles of sustainable design, we work intentionally on small-scale production. And try to raise awareness on slow, ethical, socially, and environmentally conscious fashion. Wholesale 
E: hello@3quarters.design 

Photo credit: 3QUARTERS",https://3quarters.design,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.872}",0.872,Positive,en
3rd Diadem,['Jewelry'],"BRAND: 3rd Diadem DESCRIPTION: 3RD/DIADEM was launched in September 2020 in London by Gow Tanaka, combining over 25 years experience in the fashion industry as a session hairstylist, with his passion for attention to detail, in particular with the exquisite handcrafting found in traditional Japanese design. Gow spent over four years researching materials and learning and perfecting his own techniques for 3D design and craft.  He made a promise to himself that he would not settle for anything less than the ultimate material from which to create his designs.   Eventually he found it.  A unique, sustainable material, made from recycled paper that had been created for the manufacture of high-end interior furnishings.

It was perfect for Gow to finally create the products within his Dappe collection.  He was know able to offer true ’Sustainable luxury’.

Gow took the inspiration he found within his cultural heritage, his deep understanding of the principles of hairdressing and four years solely dedicated to design and development, to create his first original product, Dappe Comb.  

Following the release of his signature product, Dappe Collection has expanded to include unisex accessories to both desk and table ware.

3RD/DIADEM reflects its vision.  The creation of unique, sustainable and eye-catching pieces that symbolise rarity and style.

Contact wholesale
E: info@3rd-diadem.com

Photo credit: 3rd Diadem",https://www.3rd-diadem.com,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.9875}",0.9875,Positive,en
3sixteen,"['Accessories', 'Bodywear', 'Footwear', 'Menswear']","BRAND: 3sixteen DESCRIPTION: Everything about the jean, from the cut to the buttons, rivets, leather patch, and stitch color, was selected to demonstrate a level of lasting quality and versatility.
We’ve since added several fits in more than 10 different fabrics, but our approach has not changed: every jean produced by 3sixteen is designed to become a permanent fixture in our lineup. This guiding philosophy is evident in the pieces we've developed since then: our shirts, jackets, basics and accessories all take cues in form and function from our jeans. Fabrics and trims are always chosen for their capacity to develop character with time. Our aim is that, with diligent wear, our customers are rewarded with something well aged, never “old.” 

Our company’s foundation is in our faith. Humility and integrity are equally important to us as quality and design. We also strive to cultivate strong relationships with the artists, craftsmen, and friends to whom we owe our success. With our quarterly interview feature, Singularities, and our artist collaboration project, Vanguard, 3sixteen always aspires to pay due respect.

Wholesale
E: brandon@3sixteen.com

Photo credit: Courtesy of 3sixteen",https://www.3sixteen.com,"{'neg': 0.015, 'neu': 0.796, 'pos': 0.189, 'compound': 0.9909}",0.9909,Positive,en
4funkyflavours,"['Womenswear', 'Menswear', 'Kidswear']","BRAND: 4funkyflavours DESCRIPTION: 4funkylavours started from our persuasion that fashion should be more fun, more original, and more colourful. There were only a few brands that managed to distinguish themselves on creativity and quality. Although we had no fashion experience this inspired us to try to create a new exiting brand. Many times we hear that our designs are distinctive in a positive way and stand out because of a recognizable design handwriting without being predictable. This gives us the fun and energy to try and find new levels. Our handwriting is known for using many bright colours creatively used in sometimes unusual patterns. We love to mix prints that create a bold blend with surprising combinations. It is the customer that decides how far they dare to go in wearing pattern on pattern. We get our inspiration from everything around us. Beautiful impressive buildings with tile patterns, or just little things right in front of you. Just look around, there are patterns everywhere.

Wholesale
E: wholesale@4ff.eu

Photo credit: Courtesy of 4funkyflavours",https://www.4funkyflavours.eu,"{'neg': 0.011, 'neu': 0.715, 'pos': 0.274, 'compound': 0.9943}",0.9943,Positive,en
4th & Reckless,"['Footwear', 'Womenswear']","BRAND: 4th & Reckless DESCRIPTION: 4th & Reckless is a UK in - house designed Womenswear & Footwear brand. 4th & Reckless is all about the head to toe look. We mix classic tailoring with key trend pieces. With numerous possibilities, it's not about one look. It's about how you style it. Wholesale
E: wholesale@4thandreckless.com

Photo credit: Courtesy of 4th & Reckless",https://www.4thandreckless.com,"{'neg': 0.166, 'neu': 0.755, 'pos': 0.079, 'compound': -0.6908}",-0.6908,Negative,en
66°North,"['Womenswear', 'Menswear']","BRAND: 66°North DESCRIPTION: 66°North was founded in 1926 by Hans Kristjánsson with the purpose of making protective clothing for Icelandic fishermen and workers braving the North Atlantic elements. 

Hans Kristjansson lived in Suðureyri in Súgandafjörður in Westfjords of Iceland where weather conditions were very harsh and suitable clothing was simply a matter of life and death for Icelandic fishermen. Wholesale
E: 66north@66north.com
P: +354 535 6600

Photo credit: 66°North",https://66north.com,"{'neg': 0.095, 'neu': 0.856, 'pos': 0.049, 'compound': -0.659}",-0.659,Negative,en
7 For All Mankind,"['Womenswear', 'Menswear', 'Accessories', 'Denim']","BRAND: 7 For All Mankind DESCRIPTION: In fall 2000, the landscape of premium denim was changed forever. Born in Los Angeles, California, 7 For All Mankind was the first company to bring premium denim to scale, putting L.A. on the map as the fashion authority of the west coast staple. 7 For All Mankind quickly earned an immediate following for its innovative use of fabrics, fit and finishes in denim. Often nicknamed as ""Sevens,"" the brand has become not only a household name, but a favorite among Hollywood elite, fashion editors and stylists. Our jeans have graced the bodies of notable female celebrities that include Emma Stone, Kim Kardashian, Jennifer Lawrence, Kristen Stewart, Jessica Alba, and Kate Bosworth. Male celebrity fans include Ashton Kutcher, Ryan Reynolds and Prince Harry.

Today, 7 For All Mankind is an international brand with retail locations in America, Europe, Asia and the Middle East. In addition to our own brick and mortar stores and website, the brand is sold at luxury department stores and high end specialty boutiques around the world.

7 For All Mankind remains the leader in premium denim and continues to push industry standards to a new level by being a hybrid brand of fashion and innovation.

Wholesale:
E: 7fam-nl@salesupply.net
T: (+44) 122 379 0684

Photo credit: 7 For All Mankind",https://www.7forallmankind.com,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.9432}",0.9432,Positive,en
7Square,['Menswear'],"BRAND: 7Square DESCRIPTION: While gaining experience in the fashion industry by guiding several clothing brands, 7SQR’s owner Margje van Loon discovered a gap between the traditional high-end suit brands and the casual clothing brands. There were no comfortable, affordable suits which could be worn on every occasion. Why not?

With that question in mind, Margje started researching and developing. Combining different styles, techniques and fabrics, slowly coming towards a way to fill the gap. And after many months – if not years – of improving on quality, comfort and style, by the end of 2018 7SQR officially launched their first collection which filled this gap. Wholesale:
E: vivianne@7square.nl

Photo credit: 7SQUARE",https://www.7square.nl,"{'neg': 0.056, 'neu': 0.822, 'pos': 0.122, 'compound': 0.7762}",0.7762,Positive,en
8848 Altitude,['Sportswear'],"BRAND: 8848 Altitude DESCRIPTION: 8848 Altitude is a Swedish premium ski fashion and street style brand, dedicated to merging style with functionality, bringing the perfect blend of performance and trendsetting designs to both the mountain and the city. The collection holds both iconic signature styles with a strong identity as well as seasonal pieces in limited editions. The design DNA is recognized by a sophisticated, sporty style, and the collections are precisely coordinated in both colours and materials to otter a well-curated ski and lifestyle wardrobe. Perfect fitting is a hallmark of the brand, defined by distinct silhouettes and meticulous tailoring. The company's history in alpine sports is clearly visible in the detail work, where every feature is elaborately crafted with both function and appearance in mind.

8848 Altitude was founded in 1990 by Magnus Berggren who still is the main owner. CEO and Head of Design.

Wholesale

8848 Altitude German Office:
MOC Showroom
A 106
Lilienthalallee 40 80939 München
Kontakt: Maria Benner, maria.benner@8848altitude.com
 
Headquarter:
8848 Altitude AB
Box 22216 501 14 Borås
Sweden

Photo credit: 8848 Altitude",https://www.8848altitude.com,"{'neg': 0.01, 'neu': 0.86, 'pos': 0.13, 'compound': 0.9712}",0.9712,Positive,en
8beaufort Hamburg,"['Footwear', 'Bags']","BRAND: 8beaufort Hamburg DESCRIPTION: 8beaufort.hamburg is more than an ordinary fashion brand.

Because we want to preserve and protect the harsh wind and the thundering waves that we carry in our name, we manufacture our products from natural materials and discarded sailcloths that were used on flat-bottomed ships and wooden boats in the Wadden Sea of ​​the North Sea and in the English Channel. Through this principle of recycling and upcycling, the reuse and further use of materials that have already been used, we not only actively reduce the garbage that pollutes our oceans. In contrast to many other manufacturers, we also use European leather and waxed cotton and rely on vegetable tanning agents. This reduces CO2 emissions and protects the environment from pollutants.

And in order to be as responsible as possible, we only work with reliable partners: our shoes are made by family businesses in Portugal. The bags are made in certified companies in the global south that work according to EU standards and guarantee ecological production and fair working conditions.

The result: sustainable products that stand for individual style and maximum well-being and will take the fashion industry by storm.

Wholesale:
E: 

Photo credit: 8beaufort Hamburg",https://8beaufort.hamburg/,"{'neg': 0.049, 'neu': 0.868, 'pos': 0.083, 'compound': 0.6639}",0.6639,Positive,en
9Fashion,"['Maternity wear', 'Womenswear']","BRAND: 9Fashion DESCRIPTION: The beginnings of my idea for 9fashion fall in the most beautiful period of my life, the time when I was pregnant. I wanted to celebrate every day because I felt that I couldn’t be happier. I felt beautiful and I wanted to share this feeling with other women. VISION
For years I have been practicing yoga and exploring the secrets of Ayurveda.
I see a woman as a whole - the body is just as important as the soul.
I believe that only a holistic view of yourself and your body guarantees health and ... beauty.

Taking care of every aspect of yourself improves the quality of life, health and adds beauty. I wanted to expand this vision with a sense of comfort and convenience every day, because that's what my clothes are - thoughtful and refined, and above all - made for YOU.


Wholesale
E: sklep@9fashion.pl
P: +48 607 660 740

Photo credit: 9fashion",https://www.9fashion.pl,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.9931}",0.9931,Positive,en
Aaiko,"['Womenswear', 'Footwear', 'Jewelry', 'Accessories']","BRAND: Aaiko DESCRIPTION: Aaiko is a dutch fashion brand, based in Amsterdam. The driving force behind Aaiko is Pauline Brakenhoff. She started the brand in 2006, by combining commercialism and creativity in a unique way. Over the years, Aaiko has grown into an internationally known brand with points of sale in many different countries. Since it is our aim to inspire women all over the world, we keep expanding our business.

But the essence of the brand has not changed over time: pauline’s personal vision and sense of creativity are still at the heart of the brand. Pauline is very much inspired by her travels around the world. Her collections are an ode to her curiosity and courage. But, being a woman herself, pauline never loses sight of her customers: her contemporary and innovative designs are flattering, comfortable and easy to wear. Aaiko brings four collections per year. Each collection is divided in separate themes and six colour blocks. We support new deliveries on a monthly basis. And next to our regular collections we bring several short-term deliveries: Aaikonics. This way we offer you the opportunity to update your store with the latest trends and bestselling items. Service is important to us: we offer a b2b platform informing you about the latest trends and enabling you to shop online 24/7.

The brand story
Aaiko is a dutch fashion brand, based in Amsterdam. The driving force behind Aaiko is Pauline Brakenhoff. She started the brand in 2006, by combining commercialism and creativity in a unique way. Over the years, Aaiko has grown into an internationally known brand with points of sale in many different countries. Since it is our aim to inspire women all over the world, we keep expanding our business. But the essence of the brand has not changed over time: pauline’s personal vision and sense of creativity are still at the heart of the brand. Pauline is very much inspired by her travels around the world. Her collections are an ode to her curiosity and courage. But, being a woman herself, pauline never loses sight of her customers: her contemporary and innovative designs are flattering, comfortable and easy to wear.

The Aaiko woman
Aaiko is japanse for ‘beloved’, while in old-germanic it stands for ‘tough’. This unique contradiction defines our brand and its customers. The Aaiko woman is not easy to pin down, and we do not like to pin women anyway, but we know she is feminine and strong at the same time. In short: she is soft but powerful. And for us, in all her diversity, the Aaiko woman is an endless source of inspiration.",https://aaiko.com,"{'neg': 0.015, 'neu': 0.782, 'pos': 0.203, 'compound': 0.9985}",0.9985,Positive,en
